"id","data","coordinates"
58,"{""name"": ""\u041b\u0435\u0431\u0435\u0434\u044f\u043d\u0441\u043a\u043e\u0435 \u0448\u043e\u0441\u0441\u0435, \u0434.2\u0411 (\u0414\u043e\u0431\u0440\u043e\u0441\u0442\u0440\u043e\u0439)""}","[39.539138, 52.626784]"
59,"{""name"": ""\u041b\u0435\u0441\u043d\u0430\u044f - \u041a\u0425\u041f (\u041a\u043e\u043a\u0441\u043e\u0445\u0438\u043c - \u041b\u0435\u0441\u043d\u0430\u044f)""}","[39.593415, 52.565031]"
60,"{""name"": ""\u041c\u0435\u0440\u043a\u0443\u043b\u043e\u0432\u0430 - 60 \u043b\u0435\u0442 \u0421\u0421\u0421\u0420 (\u041e\u043a\u0442\u044f\u0431\u0440\u044c\u0441\u043a\u0438\u0439 \u0440\u044b\u043d\u043e\u043a)""}","[39.534509, 52.587166]"
61,"{""name"": ""\u041c\u0435\u0440\u043a\u0443\u043b\u043e\u0432\u0430 - \u041e\u041e\u0422 \u0422\u0435\u043f\u0435\u0440\u0438\u043a\u0430 (\u0422\u0426 \u041a\u0430\u0440\u0443\u0441\u0435\u043b\u044c, \u043d\u0430\u043f\u0440\u043e\u0442\u0438\u0432 \u0432\u044b\u0432\u0435\u0441\u043a\u0438 \u041c\u0412\u0438\u0434\u0435\u043e) ""}","[39.5262, 52.581]"
62,"{""name"": ""\u041c\u0435\u0440\u043a\u0443\u043b\u043e\u0432\u0430 - \u043f\u043e\u043b\u0438\u043a\u043b\u0438\u043d\u0438\u043a\u0430 \u2116 2""}","[39.5343, 52.5871]"
63,"{""name"": ""\u041c\u0435\u0440\u043a\u0443\u043b\u043e\u0432\u0430 - \u043f\u043e\u043b\u0438\u043a\u043b\u0438\u043d\u0438\u043a\u0430 \u2116 7""}","[39.5218, 52.5784]"
64,"{""name"": ""\u041c\u0435\u0442\u0430\u043b\u043b\u0443\u0440\u0433\u043e\u0432 \u043f\u043b.""}","[39.621345, 52.576154]"
65,"{""name"": ""\u041c\u0435\u0445\u0430\u043d\u0438\u0437\u0430\u0442\u043e\u0440\u043e\u0432 - \u041a\u043e\u043b\u043b\u0435\u0434\u0436 (\u041b\u0438\u0446\u0435\u0439 \u211612)""}","[39.5632, 52.5859]"
66,"{""name"": ""\u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u0430\u044f - 9 \u043c\u0438\u043a\u0440-\u043d ( \u0410\u0432\u0442\u043e\u0441\u0430\u043b\u043e\u043d \u041a\u041e\u041b\u0415\u0421\u041e)""}","[39.531308, 52.609614]"
67,"{""name"": ""\u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u0430\u044f - \u0432\u044b\u0435\u0437\u0434 \u043d\u0430 \u0415\u043b\u0435\u0446\u043a\u043e\u0435 \u0448\u043e\u0441\u0441\u0435 (19 \u043c\u043a\u0440\u043d. \u041e\u0441\u0442\u0430\u043d\u043e\u0432\u043a\u0430 \u041b\u0413\u0422\u0423)""}","[39.5112, 52.5992]"
68,"{""name"": ""\u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u0430\u044f - \u043e\u0431\u043b. \u0431\u043e\u043b\u044c\u043d\u0438\u0446\u0430""}","[39.5155, 52.6018]"
69,"{""name"": ""\u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u0430\u044f - \u041e\u041e\u0422 \u0443\u043b. \u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u0430\u044f""}","[39.5364, 52.6129]"
70,"{""name"": ""\u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u0430\u044f - \u041f\u043e\u043b\u0438\u0433\u0440\u0430\u0444\u0438\u0447\u0435\u0441\u043a\u0430\u044f""}","[39.520424, 52.604448]"
